"date","close","volume","open","high","low"
"16:00","1,116.37","1,538,306","1,103","1,117.33","1,095.41"
"2019/01/31","1116.3700","1531463.0000","1103.0000","1117.3300","1095.4100"
"2019/01/30","1089.0600","1241760.0000","1068.4300","1091.0000","1066.8500"
"2019/01/29","1060.6200","1006731.0000","1072.6800","1075.1500","1055.8647"
"2019/01/28","1070.0800","1277745.0000","1080.1100","1083.0000","1063.8000"
"2019/01/25","1090.9900","1114785.0000","1085.0000","1094.0000","1081.8200"
"2019/01/24","1073.9000","1317718.0000","1076.4800","1079.4750","1060.7000"
"2019/01/23","1075.5700","956526.0000","1077.3500","1084.9300","1059.7500"
"2019/01/22","1070.5200","1607398.0000","1088.0000","1091.5100","1063.4700"
"2019/01/18","1098.2600","1933754.0000","1100.0000","1108.3520","1090.9000"
"2019/01/17","1089.9000","1223674.0000","1079.4700","1091.8000","1073.5000"
"2019/01/16","1080.9700","1320530.0000","1080.0000","1092.3750","1079.3400"
"2019/01/15","1077.1500","1452238.0000","1050.1700","1080.0500","1047.3400"
"2019/01/14","1044.6900","1127417.0000","1046.9200","1051.5300","1041.2550"
"2019/01/11","1057.1900","1512651.0000","1063.1800","1063.7750","1048.4800"
"2019/01/10","1070.3300","1444976.0000","1067.6600","1071.1500","1057.7100"
"2019/01/09","1074.6600","1198369.0000","1081.6500","1082.6300","1066.4000"
"2019/01/08","1076.2800","1748371.0000","1076.1100","1084.5600","1060.5300"
"2019/01/07","1068.3900","1978077.0000","1071.5000","1073.9999","1054.7600"
"2019/01/04","1070.7100","2080144.0000","1032.5900","1070.8400","1027.4179"
"2019/01/03","1016.0600","1829379.0000","1041.0000","1056.9800","1014.0700"
"2019/01/02","1045.8500","1516681.0000","1016.5700","1052.3200","1015.7100"
"2018/12/31","1035.6100","1492541.0000","1050.9600","1052.7000","1023.5900"
"2018/12/28","1037.0800","1399218.0000","1049.6200","1055.5600","1033.1000"
"2018/12/27","1043.8800","2102069.0000","1017.1500","1043.8900","997.0000"
"2018/12/26","1039.4600","2337212.0000","989.0100","1040.0000","983.0000"
"2018/12/24","976.2200","1590328.0000","973.9000","1003.5400","970.1100"
"2018/12/21","979.5400","4560424.0000","1015.3000","1024.0200","973.6900"
"2018/12/20","1009.4100","2659047.0000","1018.1300","1034.2200","996.3600"
"2018/12/19","1023.0100","2419322.0000","1033.9900","1062.0000","1008.0500"
"2018/12/18","1028.7100","2101854.0000","1026.0900","1049.4800","1021.4400"
"2018/12/17","1016.5300","2337631.0000","1037.5100","1053.1500","1007.9000"
"2018/12/14","1042.1000","1685802.0000","1049.9800","1062.6000","1040.7900"
"2018/12/13","1061.9000","1329198.0000","1068.0700","1079.7597","1053.9300"
"2018/12/12","1063.6800","1523276.0000","1068.0000","1081.6500","1062.7900"
"2018/12/11","1051.7500","1354751.0000","1056.4900","1060.6000","1039.8400"
"2018/12/10","1039.5500","1793465.0000","1035.0500","1048.4500","1023.2900"
"2018/12/07","1036.5800","2098526.0000","1060.0100","1075.2600","1028.5000"
"2018/12/06","1068.7300","2758098.0000","1034.2600","1071.2000","1030.7701"
"2018/12/04","1050.8200","2278200.0000","1103.1200","1104.4200","1049.9800"
"2018/12/03","1106.4300","1900355.0000","1123.1400","1124.6500","1103.6645"
"2018/11/30","1094.4300","2554416.0000","1089.0700","1095.5700","1077.8800"
"2018/11/29","1088.3000","1403540.0000","1076.0800","1094.2450","1076.0000"
"2018/11/28","1086.2300","2399374.0000","1048.7600","1086.8400","1035.7600"
"2018/11/27","1044.4100","1801334.0000","1041.0000","1057.5800","1038.4900"
"2018/11/26","1048.6200","1846430.0000","1038.3500","1049.3100","1033.9100"
"2018/11/23","1023.8800","691462.0000","1030.0000","1037.5900","1022.3992"
"2018/11/21","1037.6100","1531676.0000","1036.7600","1048.5600","1033.4700"
"2018/11/20","1025.7600","2447254.0000","1000.0000","1031.7400","996.0200"
"2018/11/19","1020.0000","1837207.0000","1057.2000","1060.7900","1016.2601"
"2018/11/16","1061.4900","1641232.0000","1059.4100","1067.0000","1048.9800"
"2018/11/15","1064.7100","1819132.0000","1044.7100","1071.8500","1031.7800"
"2018/11/14","1043.6600","1561656.0000","1050.0000","1054.5643","1031.0000"
"2018/11/13","1036.0500","1496534.0000","1043.2900","1056.6050","1031.1500"
"2018/11/12","1038.6300","1429319.0000","1061.3900","1062.1200","1031.0000"
"2018/11/09","1066.1500","1343154.0000","1073.9900","1075.5600","1053.1100"
"2018/11/08","1082.4000","1463022.0000","1091.3800","1093.2700","1072.2048"
"2018/11/07","1093.3900","2057155.0000","1069.0000","1095.4600","1065.9000"
"2018/11/06","1055.8100","1225197.0000","1039.4800","1064.3450","1038.0700"
"2018/11/05","1040.0900","2436742.0000","1055.0000","1058.4700","1021.2400"
"2018/11/02","1057.7900","1829295.0000","1073.7300","1082.9750","1054.6100"
"2018/11/01","1070.0000","1456222.0000","1075.8000","1083.9750","1062.4600"
"2018/10/31","1076.7700","2528584.0000","1059.8100","1091.9400","1057.0000"
