Day,Max,Avg,Min
1,32,28,21
2,25,21,17
3,32,24,16
4,30,28,27
5,34,30,25
6,37,34,32
7,33,29,25
8,43,31,19
9,45,36,28
10,41,34,30
11,53,47,41
12,62,55,48
13,68,62,55
14,57,44,30
15,33,30,26
16,34,32,30
17,33,32,30
18,30,24,19
19,52,42,32
20,46,35,24
21,25,18,12
22,12,9,6
23,16,11,6
24,21,16,12
25,19,16,12
26,27,23,19
27,30,23,16
28,50,40,30
29,68,59,50
30,66,58,48
31,42,32,21
