Carrier Code,Date,Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),,,,,,,,,,,,,
WN,7/1/2015,857,N602SW,DAL,10:30,10:30,55,51,0,10:37,7,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,862,N8320J,SJC,18:35,18:52,215,194,17,19:01,9,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,891,N528SW,LBB,16:20,16:16,70,61,-4,16:23,7,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,893,N251WN,LAS,5:35,5:37,165,148,2,5:48,11,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,1017,N261WN,DAL,6:30,0:00,60,0,0,0:00,0,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,1030,N8651A,PHX,12:25,12:22,140,122,-3,12:32,10,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,1249,N430WN,LAX,5:30,5:29,185,173,-1,5:43,14,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,1255,N602SW,BNA,5:10,5:07,120,122,-3,5:16,9,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,1403,N8320J,LAS,11:25,11:25,165,149,0,11:36,11,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,1694,N248WN,PHX,7:00,7:07,140,130,7,7:18,11,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,1901,N374SW,MCO,10:25,10:30,155,158,5,10:40,10,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,2263,N494WN,DAL,18:40,18:56,55,53,16,19:05,9,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,2284,N375SW,FLL,16:45,20:22,165,157,217,20:30,8,196,0,0,0,13,,,,,,,,,,,,,
WN,7/1/2015,2495,N908WN,SNA,7:35,7:39,180,158,4,7:48,9,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,2876,N467WN,STL,13:25,13:23,120,117,-2,13:34,11,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,2950,N720WN,DAL,14:05,14:11,55,68,6,14:31,20,6,0,13,0,0,,,,,,,,,,,,,
WN,7/1/2015,3047,N8322X,LAS,20:20,21:02,165,152,42,21:11,9,0,0,0,0,29,,,,,,,,,,,,,
WN,7/1/2015,3054,N467WN,PDX,18:45,18:57,245,233,12,19:09,12,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,3304,N486WN,ATL,18:10,19:09,135,142,59,19:24,15,0,0,57,0,9,,,,,,,,,,,,,
WN,7/1/2015,3307,N621SW,HRL,9:15,9:14,60,60,-1,9:24,10,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,3933,N7749B,ELP,10:40,10:39,90,83,-1,10:51,12,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,3937,N229WN,DAL,8:10,8:12,60,57,2,8:19,7,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,4195,N522SW,ELP,14:25,14:25,90,89,0,14:42,17,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,4551,N642WN,DEN,8:30,8:33,125,125,3,8:45,12,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,4621,N736SA,SAN,11:35,12:00,175,152,25,12:10,10,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,4630,N918WN,DEN,5:50,5:52,130,127,2,6:04,12,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,4819,N7707C,PHX,17:25,17:22,150,127,-3,17:33,11,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,4913,N781WN,TPA,11:35,11:50,140,132,15,11:57,7,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,4924,N757LV,LAX,16:00,16:15,185,169,15,16:27,12,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,4927,N8609A,DCA,12:40,12:38,195,178,-2,12:49,11,0,0,0,0,0,,,,,,,,,,,,,
WN,7/1/2015,5888,N521SW,DAL,20:00,20:51,55,57,51,21:02,11,0,0,2,0,51,,,,,,,,,,,,,
WN,7/2/2015,103,N8604K,MDW,6:30,6:31,165,161,1,6:56,25,0,0,0,0,0,,,,,,,,,,,,,
WN,7/2/2015,144,N8633A,SAN,20:55,21:31,170,158,36,21:43,12,24,0,0,0,0,,,,,,,,,,,,,
WN,7/2/2015,178,N636WN,ELP,20:30,21:45,90,86,75,21:53,8,0,0,0,0,71,,,,,,,,,,,,,
WN,7/2/2015,232,N913WN,ATL,5:45,5:49,135,134,4,5:57,8,0,0,0,0,0,,,,,,,,,,,,,
WN,7/2/2015,238,N915WN,DAL,12:30,12:29,55,46,-1,12:34,5,0,0,0,0,0,,,,,,,,,,,,,
WN,7/2/2015,285,N522SW,DAL,9:25,9:22,55,51,-3,9:32,10,0,0,0,0,0,,,,,,,,,,,,,
WN,7/2/2015,311,N470WN,MDW,15:05,15:07,150,157,2,15:16,9,0,0,0,0,0,,,,,,,,,,,,,
WN,7/2/2015,329,N522SW,HOU,16:00,15:59,50,47,-1,16:07,8,0,0,0,0,0,,,,,,,,,,,,,
WN,7/2/2015,341,N916WN,OAK,18:00,18:57,225,205,57,19:05,8,1,0,0,0,36,,,,,,,,,,,,,
WN,7/2/2015,356,N620SW,PHX,20:10,21:36,140,132,86,21:46,10,0,0,0,0,78,,,,,,,,,,,,,
WN,7/2/2015,359,N7752B,EWR,6:45,6:43,225,222,-2,6:53,10,0,0,0,0,0,,,,,,,,,,,,,
