Day,Max,Avg,Min
1,30,28,25
2,28,26,23
3,26,24,21
4,36,28,19
5,45,32,19
6,39,34,30
7,39,36,32
8,36,32,28
9,52,40,27
10,68,55,42
11,63,55,46
12,45,40,35
13,37,32,26
14,37,30,23
15,48,38,28
16,39,36,32
17,37,32,28
18,39,34,30
19,44,36,28
20,39,32,25
21,28,22,18
22,33,28,24
23,46,34,23
24,43,34,26
25,35,32,30
26,39,34,30
27,41,34,30
28,42,37,33
29,52,43,36
30,54,43,33
31,48,44,42
